nstations,ndeliveries,ndrones,seed,algorithm,completion_time,mean_schedule_time,mean_flight_time,mean_swap_time,mean_load_unload_time,mean_waiting_time,mean_delivery_time,mean_schedule_distance,mean_schedule_energy,mean_number_swaps,drone_utilization_time,drone_utilization,total_number_parcel_handover,mean_number_parcel_handover,execution_time,perc_flight_time,perc_swap_time,perc_load_unload_time,perc_waiting_time,diff_demand-cons
20,5,2,27,LOCALSEARCH-HC,9455.8155,9039.8278,8709.8278,210,120,0,5104.0819,60968.7946,3.0218,3.5,9039.8278,0.956,1,0.2,0.282447131,0.96349488,0.023230531,0.013274589,0,1.4782
20,5,2,27,LOCALSEARCH-BFSOPT,9455.8155,9039.8278,8709.8278,210,120,0,5104.0819,60968.7946,3.0218,3.5,9039.8278,0.956,1,0.2,0.283544464,0.96349488,0.023230531,0.013274589,0,1.4782
20,5,2,28,GREEDY,10552.9692,9826.2416,9396.2416,330,100,0,6532.4223,65773.691,4.469,5.5,9826.2416,0.9311,0,0,0.219057639,0.956239627,0.033583542,0.010176831,0,2.031
20,5,2,28,LOCALSEARCH-LB,10552.9692,9826.2416,9396.2416,330,100,0,6532.4223,65773.691,4.469,5.5,9826.2416,0.9311,0,0,0.282688494,0.956239627,0.033583542,0.010176831,0,2.031
20,5,2,28,LOCALSEARCH-HC,10552.9692,9826.2416,9396.2416,330,100,0,6532.4223,65773.691,4.469,5.5,9826.2416,0.9311,0,0,0.284121453,0.956239627,0.033583542,0.010176831,0,2.031
20,5,2,28,LOCALSEARCH-BFSOPT,10552.9692,9826.2416,9396.2416,330,100,0,6532.4223,65773.691,4.469,5.5,9826.2416,0.9311,0,0,0.28368281,0.956239627,0.033583542,0.010176831,0,2.031
20,5,2,29,GREEDY,11137.051,8937.0116,8537.0116,300,100,0,5791.2826,59759.081,4.2867,5,8937.0116,0.8025,0,0,0.218728341,0.955242309,0.033568268,0.011189423,0,1.7133
20,5,2,29,LOCALSEARCH-LB,9355.7874,9260.6852,8800.6852,300,160,0,5920.7521,61604.7966,4.3483,5,9260.6852,0.9898,1,0.2,1.740997705,0.95032765,0.032395011,0.017277339,0,1.6517
20,5,2,29,LOCALSEARCH-HC,9784.4596,9344.1221,8944.1221,300,100,0,6116.9711,62608.8548,4.3243,5,9344.1221,0.955,0,0,0.387191666,0.95719234,0.032105745,0.010701915,0,1.6757
20,5,2,29,LOCALSEARCH-BFSOPT,9355.7874,9260.6852,8800.6852,300,160,0,5920.7521,61604.7966,4.3483,5,9260.6852,0.9898,1,0.2,1.302800314,0.95032765,0.032395011,0.017277339,0,1.6517
